Ethiopia,0.118948451,0.000004816,0.000000963,0.012620895,0.000000511,0.000000102,0.131569347,0.000005327,0.000001065
Finland,0.225457295,0.000002607,0.000002432,0.010440489,0.000000121,0.000000113,0.235897784,0.000002728,0.000002544
Former USSR,0.537643872,0.000007517,0.000004839,0.057046116,0.000000798,0.000000514,0.594689987,0.000008315,0.000005353
France,0.070927465,0.000001010,0.000000649,0.004765747,0.000000068,0.000000044,0.075693212,0.000001078,0.000000693
Gabon,0.425188882,0.000012197,0.000002050,0.045114202,0.000001294,0.000000218,0.470303084,0.000013491,0.000002268
Georgia,0.089456936,0.000001595,0.000000159,0.009491731,0.000000169,0.000000017,0.098948667,0.000001764,0.000000176
Germany,0.672220452,0.000007220,0.000009100,0.042417139,0.000000456,0.000000574,0.714637591,0.000007676,0.000009674
Ghana,0.214767509,0.000008790,0.000001758,0.022787672,0.000000933,0.000000187,0.237555181,0.000009723,0.000001945
Gibraltar,0.772321446,0.000029935,0.000005987,0.000000000,0.000000000,0.000000000,0.772321446,0.000029935,0.000005987
Greece,1.921092777,0.000023271,0.000026900,0.186003677,0.000002253,0.000002605,2.107096454,0.000025524,0.000029504
Guatemala,0.341534936,0.000009681,0.000003671,0.036238191,0.000001027,0.000000390,0.377773128,0.000010708,0.000004061
Haiti,0.483325309,0.000019401,0.000003880,0.051282704,0.000002059,0.000000412,0.534608012,0.000021460,0.000004292
Honduras,0.415487352,0.000016130,0.000003226,0.044084832,0.000001712,0.000000342,0.459572184,0.000017842,0.000003568
Hong Kong (China),0.786680632,0.000009562,0.000010200,0.093909404,0.000001142,0.000001218,0.880590036,0.000010704,0.000011418
Hungary,0.589672564,0.000007400,0.000006302,0.047530917,0.000000597,0.000000508,0.637203481,0.000007996,0.000006810
Iceland,0.000193484,0.000000008,0.000000002,0.000012564,0.000000001,0.000000000,0.000206048,0.000000008,0.000000002
IEA Europe,0.453760609,0.000005695,0.000005308,0.048145774,0.000000604,0.000000563,0.501906383,0.000006300,0.000005872
IEA North America,0.499440779,0.000005995,0.000006610,0.052992618,0.000000636,0.000000701,0.552433397,0.000006631,0.000007311
IEA Total,0.488897248,0.000006129,0.000006021,0.051873908,0.000000650,0.000000639,0.540771157,0.000006779,0.000006660
India,1.333174843,0.000015523,0.000020109,0.467630580,0.000005445,0.000007054,1.800805423,0.000020968,0.000027163
Indonesia,0.684693977,0.000014097,0.000007753,0.089694921,0.000001847,0.000001016,0.774388897,0.000015943,0.000008768
"Iran, Islamic Republic of",0.631113877,0.000014976,0.000002196,0.066963648,0.000001589,0.000000233,0.698077525,0.000016565,0.000002429
Iraq,0.820614626,0.000032284,0.000006457,0.087070418,0.000003425,0.000000685,0.907685045,0.000035709,0.000007142
Ireland,0.521193132,0.000008185,0.000004414,0.044878691,0.000000705,0.000000380,0.566071822,0.000008889,0.000004794
Israel,0.740303524,0.000010768,0.000009661,0.022650681,0.000000330,0.000000296,0.762954205,0.000011098,0.000009956
Italy,0.410898038,0.000007078,0.000002806,0.024367877,0.000000420,0.000000166,0.435265915,0.000007498,0.000002973
Jamaica,0.796106233,0.000030969,0.000006194,0.084469982,0.000003286,0.000000657,0.880576215,0.000034254,0.000006851
Japan,0.443356848,0.000007099,0.000003964,0.022594630,0.000000362,0.000000202,0.465951477,0.000007460,0.000004166
Jordan,0.643924449,0.000014205,0.000001925,0.068322900,0.000001507,0.000000204,0.712247349,0.000015712,0.000002129
Kazakhstan,0.923181405,0.000010747,0.000013821,0.097953154,0.000001140,0.000001466,1.021134560,0.000011888,0.000015287
Kenya,0.332297783,0.000013074,0.000002615,0.035258093,0.000001387,0.000000277,0.367555876,0.000014461,0.000002892
"Korea, Democratic People's Republic of",0.494658925,0.000006550,0.000007448,0.052485245,0.000000695,0.000000790,0.547144170,0.000007245,0.000008238
