type,Unit,co2eD,co2D,ch4D,no2D,co2eP,co2P,ch4P,n2oP,co2eU,co2U,ch4U,n2oU
mini,km,0.11271,0.11079,0.00001,0.00191,0.14425,0.1434,0.00035,0.0005,0.14416,0.14295,0.00024,0.00097
supermini,km,0.13982,0.1379,0.00001,0.00191,0.16285,0.162,0.00035,0.0005,0.15909,0.15788,0.00024,0.00097
lowerMedium,km,0.15444,0.15252,0.00001,0.00191,0.19027,0.18942,0.00035,0.0005,0.17319,0.1717,0.00015,0.00134
upperMedium,km,0.17243,0.17051,0.00001,0.00191,0.21733,0.21648,0.00035,0.0005,0.18484,0.18346,0.00019,0.00119
executive,km,0.19118,0.18926,0.00001,0.00191,0.24707,0.24622,0.00035,0.0005,0.20498,0.20337,0.00012,0.00149
luxury,km,0.23462,0.2327,0.00001,0.00191,0.34767,0.34682,0.00035,0.0005,0.28874,0.28725,0.00015,0.00134
sports,km,0.17707,0.17515,0.00001,0.00191,0.25311,0.25226,0.00035,0.0005,0.23961,0.238,0.00012,0.00149
dualPurpose,km,0.2298,0.22788,0.00001,0.00191,0.26038,0.25953,0.00035,0.0005,0.23514,0.23353,0.00012,0.00149
mpv,km,0.18965,0.18773,0.00001,0.00191,0.20761,0.20676,0.00035,0.0005,0.19578,0.1944,0.00019,0.00119
